DateKey;YearMonth;FullDateAlternateKey;EnglishDayNameOfWeek;CalendarYear;ShortMonth;MonthNumberOfYear
20050101;200501;2005-01-01;Saturday;2005;Jan;1
20050102;200501;2005-01-02;Sunday;2005;Jan;1
20050103;200501;2005-01-03;Monday;2005;Jan;1
20050104;200501;2005-01-04;Tuesday;2005;Jan;1
20050105;200501;2005-01-05;Wednesday;2005;Jan;1
20050106;200501;2005-01-06;Thursday;2005;Jan;1
20050107;200501;2005-01-07;Friday;2005;Jan;1
20050108;200501;2005-01-08;Saturday;2005;Jan;1
20050109;200501;2005-01-09;Sunday;2005;Jan;1
20050110;200501;2005-01-10;Monday;2005;Jan;1
20050111;200501;2005-01-11;Tuesday;2005;Jan;1
20050112;200501;2005-01-12;Wednesday;2005;Jan;1
20050113;200501;2005-01-13;Thursday;2005;Jan;1
20050114;200501;2005-01-14;Friday;2005;Jan;1
20050115;200501;2005-01-15;Saturday;2005;Jan;1
20050116;200501;2005-01-16;Sunday;2005;Jan;1
20050117;200501;2005-01-17;Monday;2005;Jan;1
20050118;200501;2005-01-18;Tuesday;2005;Jan;1
20050119;200501;2005-01-19;Wednesday;2005;Jan;1
20050120;200501;2005-01-20;Thursday;2005;Jan;1
20050121;200501;2005-01-21;Friday;2005;Jan;1
20050122;200501;2005-01-22;Saturday;2005;Jan;1
20050123;200501;2005-01-23;Sunday;2005;Jan;1
20050124;200501;2005-01-24;Monday;2005;Jan;1
20050125;200501;2005-01-25;Tuesday;2005;Jan;1
20050126;200501;2005-01-26;Wednesday;2005;Jan;1
20050127;200501;2005-01-27;Thursday;2005;Jan;1
20050128;200501;2005-01-28;Friday;2005;Jan;1
20050129;200501;2005-01-29;Saturday;2005;Jan;1
20050130;200501;2005-01-30;Sunday;2005;Jan;1
20050131;200501;2005-01-31;Monday;2005;Jan;1
20050201;200502;2005-02-01;Tuesday;2005;Feb;2
20050202;200502;2005-02-02;Wednesday;2005;Feb;2
20050203;200502;2005-02-03;Thursday;2005;Feb;2
20050204;200502;2005-02-04;Friday;2005;Feb;2
20050205;200502;2005-02-05;Saturday;2005;Feb;2
20050206;200502;2005-02-06;Sunday;2005;Feb;2
20050207;200502;2005-02-07;Monday;2005;Feb;2
20050208;200502;2005-02-08;Tuesday;2005;Feb;2
20050209;200502;2005-02-09;Wednesday;2005;Feb;2
20050210;200502;2005-02-10;Thursday;2005;Feb;2
20050211;200502;2005-02-11;Friday;2005;Feb;2
20050212;200502;2005-02-12;Saturday;2005;Feb;2
20050213;200502;2005-02-13;Sunday;2005;Feb;2
20050214;200502;2005-02-14;Monday;2005;Feb;2
20050215;200502;2005-02-15;Tuesday;2005;Feb;2
20050216;200502;2005-02-16;Wednesday;2005;Feb;2
20050217;200502;2005-02-17;Thursday;2005;Feb;2
20050218;200502;2005-02-18;Friday;2005;Feb;2
20050219;200502;2005-02-19;Saturday;2005;Feb;2
20050220;200502;2005-02-20;Sunday;2005;Feb;2
20050221;200502;2005-02-21;Monday;2005;Feb;2
20050222;200502;2005-02-22;Tuesday;2005;Feb;2
20050223;200502;2005-02-23;Wednesday;2005;Feb;2
20050224;200502;2005-02-24;Thursday;2005;Feb;2
20050225;200502;2005-02-25;Friday;2005;Feb;2
20050226;200502;2005-02-26;Saturday;2005;Feb;2
